"clickcount","duration","numOfSegments","numOfPoints"
"0","7.954722881317139","95","243"
"1","11.38753628730774","158","343"
"0","13.062947273254395","194","412"
"0","11.896303415298462","184","370"
"0","18.929006099700928","271","585"
"0","18.3744957447052","259","574"
"0","15.830703735351562","217","490"
"0","13.596665620803833","189","425"
"0","20.088318347930908","292","619"
"0","4.745819330215454","62","142"
"0","2.8670871257781982","23","84"
"0","27.020153045654297","405","837"
"0","26.245206117630005","390","818"
"0","6.5557355880737305","66","202"
"0","22.307960987091064","329","696"
"0","29.052193641662598","425","906"
"1","12.499581098556519","141","386"
"2","14.12138056755066","173","441"
"0","20.670774698257446","310","638"
"0","21.304020881652832","320","663"
"0","10.74818730354309","139","335"
"0","11.357780933380127","176","354"
"0","32.49836206436157","484","1012"
"0","15.429321765899658","220","478"
"0","28.202070236206055","418","865"
"0","33.59376096725464","481","1028"
"0","18.980891704559326","277","592"
"0","10.192866563796997","157","314"
"0","18.623039484024048","284","583"
"0","26.66293430328369","411","835"
"0","6.849757671356201","98","209"
"0","57.56289029121399","879","1776"
"0","10.353852987289429","136","319"
"0","10.406485557556152","136","320"
"0","7.9186952114105225","101","243"
"0","7.862948179244995","110","245"
"0","12.464663743972778","178","386"
"0","18.055781602859497","264","555"
"0","10.196095943450928","142","317"
"0","26.88117790222168","399","831"
"0","10.356300592422485","141","318"
"0","40.18651628494263","609","1248"
"0","28.4991295337677","375","884"
"1","19.273780822753906","281","598"
"0","32.60677099227905","489","1022"
"0","7.310121774673462","103","228"
"0","43.222068548202515","642","1332"
"0","11.44465708732605","154","354"
"0","14.039244413375854","197","437"
"0","23.7167010307312","343","740"
"0","33.40902590751648","458","1040"
"0","67.66024351119995","1013","2093"
"0","24.940288066864014","360","767"
"0","14.588222980499268","218","456"
"0","42.8399395942688","649","1334"
"0","23.18398380279541","347","722"
"0","28.055585145950317","422","866"
"0","22.320375204086304","262","683"
"3","14.850164651870728","217","460"
"0","15.176856756210327","201","471"
"0","30.54817223548889","461","951"
"0","54.93764543533325","727","1692"
"13","60.71301603317261","918","1874"
"0","14.948420763015747","218","462"
"0","10.240936040878296","143","318"
"0","25.145320892333984","374","772"
"0","5.019183874130249","49","145"
"0","10.133370876312256","125","314"
"0","26.828121662139893","388","819"
"0","12.153207063674927","169","366"
"0","18.77900195121765","268","577"
"0","5.229377508163452","51","160"
"0","7.14653754234314","86","223"
"0","11.007297277450562","119","341"
"0","17.687662601470947","245","535"
"0","6.7218241691589355","85","209"
